,author,title,comment,curriculum,id,year,grade,priority
147,народ,Тверская былина о Щелкане Дудентьевиче,,19 ИРЛ 2 ст,1,1919,6,
148,народ,О Шемякином суде,,19 ИРЛ 2 ст,1,1919,7,
149,народ,Эдда,,19 ИРЛ 2 ст,1,1919,6,
150,Аристофан,Облака,,19 ИРЛ 2 ст,1,1919,6,
151,Гомер,Илиада,,19 ИРЛ 2 ст,1,1919,6,
152,Гомер,Одиссея,,19 ИРЛ 2 ст,1,1919,6,
153,народ,Калевала,,19 ИРЛ 2 ст,1,1919,6,
154,Мольер Ж.Б.,Мизантроп,,19 ИРЛ 2 ст,1,1919,6,
155,Мольер Ж.Б.,Скупой,,19 ИРЛ 2 ст,1,1919,6,
156,Софокл,что-то,,19 ИРЛ 2 ст,1,1919,6,*
157,Шекспир У.,Гамлет,,19 ИРЛ 2 ст,1,1919,6,
158,Шекспир У.,Король Лир,,19 ИРЛ 2 ст,1,1919,6,
159,Шекспир У.,Макбет,,19 ИРЛ 2 ст,1,1919,6,
160,Аксаковы,что-то,,22 РЛ 2 ст,2,1922,7,
161,Андреев Л.Н.,Жизнь Василия Фивейского,,22 РЛ 2 ст,2,1922,8,*
162,Андреев Л.Н.,К звездам,,22 РЛ 2 ст,2,1922,8,*
163,Андреев Л.Н.,Красный смех,,22 РЛ 2 ст,2,1922,8,*
164,Андреев Л.Н.,Мысль,,22 РЛ 2 ст,2,1922,8,*
165,Андреев Л.Н.,Царь-голод,,22 РЛ 2 ст,2,1922,8,*
166,Бальмонт К.Д.,что-то,,22 РЛ 2 ст,2,1922,8,*
167,Белинский В.Г.,что-то,,22 РЛ 2 ст,2,1922,7,
168,Белый А.,что-то,,22 РЛ 2 ст,2,1922,8,*
169,Блок А.А.,что-то,,22 РЛ 2 ст,2,1922,8,*
170,Брюсов В.Я.,что-то,,22 РЛ 2 ст,2,1922,8,*
171,Вересаев В.В.,Без дороги,,22 РЛ 2 ст,2,1922,8,*
172,Вересаев В.В.,На повороте,,22 РЛ 2 ст,2,1922,8,*
173,Вересаев В.В.,Поветрие,,22 РЛ 2 ст,2,1922,8,*
174,Гаршин В.М.,Красный цветок,,22 РЛ 2 ст,2,1922,8,
175,Гаршин В.М.,Художники,,22 РЛ 2 ст,2,1922,8,
176,Гаршин В.М.,Четыре дня,,22 РЛ 2 ст,2,1922,8,
177,Гаршин В.М.,Attelea princeps,,22 РЛ 2 ст,2,1922,8,
178,Герцен А.И.,что-то,,22 РЛ 2 ст,2,1922,7,
179,Герцен А.И.,Доктор Крупов,,22 РЛ 2 ст,2,1922,7,
180,Герцен А.И.,Кто виноват?,,22 РЛ 2 ст,2,1922,7,
181,Гоголь Н.В.,Вечера на Хуторе близ Диканьки,,22 РЛ 2 ст,2,1922,6,
182,Гоголь Н.В.,Мертвые души,,22 РЛ 2 ст,2,1922,6,
183,Гоголь Н.В.,Портрет,,22 РЛ 2 ст,2,1922,6,
184,Гоголь Н.В.,Ревизор,,22 РЛ 2 ст,2,1922,6,
185,Гоголь Н.В.,Старосветские помещики,,22 РЛ 2 ст,2,1922,6,
186,Гоголь Н.В.,Шинель,,22 РЛ 2 ст,2,1922,6,
187,Гончаров И.А.,Обломов,,22 РЛ 2 ст,2,1922,7,
188,Гончаров И.А.,Обрыв,,22 РЛ 2 ст,2,1922,7,
189,Горький М.,Бывшие люди,,22 РЛ 2 ст,2,1922,8,
190,Горький М.,Коновалов,,22 РЛ 2 ст,2,1922,8,
191,Горький М.,Мать,,22 РЛ 2 ст,2,1922,8,
192,Горький М.,На дне,,22 РЛ 2 ст,2,1922,8,
193,Горький М.,Трое,,22 РЛ 2 ст,2,1922,8,
194,Горький М.,Фома Гордеев,,22 РЛ 2 ст,2,1922,8,
195,Горький М.,Челкаш,,22 РЛ 2 ст,2,1922,8,
196,Грановский Т.Н.,что-то,,22 РЛ 2 ст,2,1922,7,
197,Грибоедов А.С.,Горе от ума,,22 РЛ 2 ст,2,1922,6,
198,Гусев-Оренбургский С.И.,Страна отцов,,22 РЛ 2 ст,2,1922,8,*
199,Державин Г.Р.,что-то,2-3 произведения по выбору преподавателя,22 РЛ 2 ст,2,1922,6,
200,Добролюбов Н.А.,что-то,,22 РЛ 2 ст,2,1922,7,
201,Достоевский Ф.М.,Братья Карамазовы,,22 РЛ 2 ст,2,1922,8,
202,Достоевский Ф.М.,Записки из мертвого дома,,22 РЛ 2 ст,2,1922,8,
203,Достоевский Ф.М.,Преступление и наказание,,22 РЛ 2 ст,2,1922,8,
204,Жуковский В.А.,19 марта 1823,,22 РЛ 2 ст,2,1922,6,
205,Жуковский В.А.,Минувших дней очарованье,,22 РЛ 2 ст,2,1922,6,
206,Жуковский В.А.,Море,,22 РЛ 2 ст,2,1922,6,
207,Жуковский В.А.,Светлана,,22 РЛ 2 ст,2,1922,6,
208,Жуковский В.А.,Теон и Эсхин,,22 РЛ 2 ст,2,1922,6,
209,Златовратский Н.Н.,Деревенские будни,,22 РЛ 2 ст,2,1922,8,*
210,Златовратский Н.Н.,Золотые сердца,,22 РЛ 2 ст,2,1922,8,*
211,Златовратский Н.Н.,Устои,,22 РЛ 2 ст,2,1922,8,*
212,Карамзин Н.М.,Бедная Лиза,,22 РЛ 2 ст,2,1922,6,
213,Киреевский И.В.,что-то,,22 РЛ 2 ст,2,1922,7,
214,Кольцов А.В.,Песни и думы,,22 РЛ 2 ст,2,1922,6,
215,Короленко В.Г.,Без языка,,22 РЛ 2 ст,2,1922,8,
216,Короленко В.Г.,В дурном обществе,,22 РЛ 2 ст,2,1922,8,
217,Короленко В.Г.,История моего современника,,22 РЛ 2 ст,2,1922,8,
218,Короленко В.Г.,Лес шумит,,22 РЛ 2 ст,2,1922,8,
219,Короленко В.Г.,Нестрашное,,22 РЛ 2 ст,2,1922,8,
220,Короленко В.Г.,Слепой музыкант,,22 РЛ 2 ст,2,1922,8,
221,Короленко В.Г.,Сон Макара,,22 РЛ 2 ст,2,1922,8,
222,Короленко В.Г.,Старый звонарь,,22 РЛ 2 ст,2,1922,8,
223,Крылов И.А.,Басни,,22 РЛ 2 ст,2,1922,6,
224,Куприн А.И.,Конокрады,,22 РЛ 2 ст,2,1922,8,*
225,Куприн А.И.,Мирное Житие,,22 РЛ 2 ст,2,1922,8,*
226,Куприн А.И.,Поединок,,22 РЛ 2 ст,2,1922,8,*
227,Куприн А.И.,Трус,,22 РЛ 2 ст,2,1922,8,*
228,Левитов А.И.,Степные очерки,,22 РЛ 2 ст,2,1922,8,*
229,Лермонтов М.Ю.,Герой нашего времени,,22 РЛ 2 ст,2,1922,6,
230,Лермонтов М.Ю.,Демон,,22 РЛ 2 ст,2,1922,6,
231,Лермонтов М.Ю.,Песня о купце Калашникове,,22 РЛ 2 ст,2,1922,6,
232,Ломоносов М.В.,Вечернее размышление,,22 РЛ 2 ст,2,1922,6,
233,Ломоносов М.В.,Ода на день восшествия на престол императрицы Елизаветы Петровны,,22 РЛ 2 ст,2,1922,6,
234,Майков А.Н.,Два мира,,22 РЛ 2 ст,2,1922,7,*
235,Майков А.Н.,Искусство,,22 РЛ 2 ст,2,1922,7,*
236,Майков А.Н.,Муза,,22 РЛ 2 ст,2,1922,7,*
237,Майков А.Н.,Пустынник,,22 РЛ 2 ст,2,1922,7,*
238,Майков А.Н.,Три смерти,,22 РЛ 2 ст,2,1922,7,*
239,Майков А.Н.,Художнику,,22 РЛ 2 ст,2,1922,7,*
240,Маяковский В.В.,что-то,,22 РЛ 2 ст,2,1922,8,*
241,Михайловский Н.М.,что-то,,22 РЛ 2 ст,2,1922,8,
242,Некрасов Н.А.,Кому на Руси жить хорошо,,22 РЛ 2 ст,2,1922,7,
243,Некрасов Н.А.,Муза,,22 РЛ 2 ст,2,1922,7,
244,Некрасов Н.А.,Размышления у парадного подъезда,,22 РЛ 2 ст,2,1922,7,
245,Некрасов Н.А.,Русские женщины,,22 РЛ 2 ст,2,1922,7,
246,Некрасов Н.А.,Рыцарь на час,,22 РЛ 2 ст,2,1922,7,
247,Островский А.Н.,Бедность не порок,,22 РЛ 2 ст,2,1922,7,
248,Островский А.Н.,Гроза,,22 РЛ 2 ст,2,1922,7,
249,Островский А.Н.,Доходное место,,22 РЛ 2 ст,2,1922,7,
250,Островский А.Н.,Свои люди - сочтемся,,22 РЛ 2 ст,2,1922,7,
251,Писарев Д.И.,что-то,,22 РЛ 2 ст,2,1922,7,
252,Полонский Я.П.,Двойник,,22 РЛ 2 ст,2,1922,7,*
253,Полонский Я.П.,Каземир Великий,,22 РЛ 2 ст,2,1922,7,*
254,Полонский Я.П.,Мечтатель,,22 РЛ 2 ст,2,1922,7,*
255,Полонский Я.П.,Нищий,,22 РЛ 2 ст,2,1922,7,*
256,Полонский Я.П.,Они,,22 РЛ 2 ст,2,1922,7,*
257,Полонский Я.П.,Письма к музе,,22 РЛ 2 ст,2,1922,7,*
258,Полонский Я.П.,Подросла,,22 РЛ 2 ст,2,1922,7,*
259,Полонский Я.П.,Поэзия,,22 РЛ 2 ст,2,1922,7,*
260,Полонский Я.П.,Родник,,22 РЛ 2 ст,2,1922,7,*
261,Помяловский Н.Г.,Очерки бурсы,,22 РЛ 2 ст,2,1922,8,*
262,Помяловский Н.Г.,Мещанское счастье,,22 РЛ 2 ст,2,1922,8,*
263,Помяловский Н.Г.,Молотов,,22 РЛ 2 ст,2,1922,8,*
264,Пушкин А.С.,Борис Годунов,,22 РЛ 2 ст,2,1922,6,
