,Unnamed: 0,author,title,comment,curriculum,id,year,grade,priority,1947,1948,au_48,au_47
100,105,Тургенев И.С.,Отцы и дети,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
101,106,Тургенев И.С.,Рудин,,19 ИРЛ 2 ст,1,1919,8,,1,1,1,1
102,107,Тургенев И.С.,Стихотворения в прозе,,19 ИРЛ 2 ст,1,1919,8,,0,0,1,1
103,109,Успенский Г.И.,Власть земли,отдельные рассказы,19 ИРЛ 2 ст,1,1919,9,,0,0,0,0
104,110,Успенский Г.И.,Нравы Растеряевой улицы,,19 ИРЛ 2 ст,1,1919,9,,0,0,0,0
105,111,Фонвизин Д.И.,Недоросль,,19 ИРЛ 2 ст,1,1919,7,,1,1,1,1
106,112,Чехов А.П.,Вишневый сад,,19 ИРЛ 2 ст,1,1919,9,,1,1,1,1
107,113,Чехов А.П.,Мужики,,19 ИРЛ 2 ст,1,1919,9,,0,0,1,1
108,114,Чехов А.П.,Палата №6,,19 ИРЛ 2 ст,1,1919,9,,0,0,1,1
109,115,Чехов А.П.,Степь,,19 ИРЛ 2 ст,1,1919,9,,0,0,1,1
110,150,Аристофан,Облака,,19 ИРЛ 2 ст,1,1919,6,,0,0,0,0
111,151,Гомер,Илиада,,19 ИРЛ 2 ст,1,1919,6,,0,0,0,0
112,152,Гомер,Одиссея,,19 ИРЛ 2 ст,1,1919,6,,0,0,0,0
113,154,Мольер Ж.Б.,Мизантроп,,19 ИРЛ 2 ст,1,1919,6,,0,0,1,0
114,155,Мольер Ж.Б.,Скупой,,19 ИРЛ 2 ст,1,1919,6,,0,0,1,0
115,157,Шекспир У.,Гамлет,,19 ИРЛ 2 ст,1,1919,6,,1,0,1,1
116,158,Шекспир У.,Король Лир,,19 ИРЛ 2 ст,1,1919,6,,0,1,1,1
117,159,Шекспир У.,Макбет,,19 ИРЛ 2 ст,1,1919,6,,0,0,1,1
118,161,Андреев Л.Н.,Жизнь Василия Фивейского,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
119,162,Андреев Л.Н.,К звездам,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
120,163,Андреев Л.Н.,Красный смех,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
121,164,Андреев Л.Н.,Мысль,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
122,165,Андреев Л.Н.,Царь-голод,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
123,171,Вересаев В.В.,Без дороги,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
124,172,Вересаев В.В.,На повороте,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
125,173,Вересаев В.В.,Поветрие,,22 РЛ 2 ст,2,1922,8,*,0,0,0,0
126,174,Гаршин В.М.,Красный цветок,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
127,175,Гаршин В.М.,Художники,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
128,176,Гаршин В.М.,Четыре дня,,22 РЛ 2 ст,2,1922,8,,0,0,0,0
